lb,ub,Qsg,Tout,Tair_true,u_true
15.0,28.0,0.0,24.0,23.443727,-234.06821487769867
15.0,28.0,0.0,23.2,23.383295,-268.05799687850805
15.0,28.0,0.0,22.800003,23.260654,-253.98042352933322
15.0,28.0,0.0,22.399998,23.199936,-292.3603468179977
15.0,28.0,0.0,22.099998,23.069633,-296.6151442823781
15.0,28.0,0.0,21.8,22.980238,-493.3594523935643
15.0,28.0,0.0,21.599998,22.604254,-569.1382479615954
15.0,28.0,0.0,21.399998,22.356909,-962.2896881629243
15.0,28.0,0.0,21.300003,21.635164,-73.38486895780267
15.0,28.0,0.0,21.199997,22.763626,-1080.9360092017264
15.0,28.0,0.0,21.300003,21.339518,151.23608823917766
15.0,28.0,0.0,21.300003,22.907488,-1090.8477908060706
15.0,28.0,0.0,21.100002,21.216871,273.98580908170436
15.0,28.0,0.0,20.900002,22.963667,-1065.6436689487832
15.0,28.0,0.0,20.400002,21.166195,253.53931045899253
15.0,28.0,0.0,19.899998,22.837046,73.19153137010517
15.0,28.0,0.0,19.3,22.790821,77.37677693759923
15.0,28.0,0.0,18.600002,22.805744,164.314311929268
15.0,28.0,2.145,18.5,22.94769,136.48421700894403
15.0,28.0,59.837944,18.3,22.938538,174.10352170439666
22.0,24.0,24.255001,18.899998,23.021927,175.00574750151708
22.0,24.0,115.40873,19.400002,23.05206,139.0929728661128
22.0,24.0,60.472984,20.300003,23.050674,172.1068351949677
22.0,24.0,172.31528,21.100002,23.127518,-15.654498346965795
22.0,24.0,122.26685,21.7,23.118269,-14.072177918427542
22.0,24.0,330.83682,22.399998,23.161598,-110.13209404529954
22.0,24.0,326.00232,22.900002,23.12537,-113.78168998682708
22.0,24.0,509.54028,23.3,23.190754,-187.65532358880813
22.0,24.0,540.7645,23.699997,23.209135,-231.60087649546443
22.0,24.0,650.15936,24.099998,23.249666,-355.77961635545677
22.0,24.0,679.3646,24.400002,23.188795,-391.88910164584644
22.0,24.0,729.5835,24.800003,23.229324,-460.04807681065444
22.0,24.0,739.38666,25.0,23.235243,-490.21075012107843
22.0,24.0,730.3186,25.300003,23.280413,-476.5870580828481
22.0,24.0,718.63806,25.5,23.385235,-488.99578714045884
22.0,24.0,649.78827,25.700005,23.452656,-458.91292003251
22.0,24.0,619.45703,25.800003,23.557201,-456.7904061147606
22.0,24.0,494.53467,25.900002,23.620913,-400.2831908431058
22.0,24.0,434.22626,25.800003,23.728123,-406.26095756493737
22.0,24.0,276.8261,25.700005,23.742746,-427.1770314247002
22.0,24.0,212.85394,25.199997,23.68256,-423.3133519077586
22.0,24.0,128.93266,24.699997,23.640488,-459.20351966846874
22.0,24.0,90.987526,23.699997,23.520267,-448.95622844460866
22.0,24.0,56.594997,22.800003,23.449253,-181.04698997216678
22.0,24.0,40.59,22.800003,23.56981,-197.17862832247738
22.0,24.0,25.244999,20.400002,23.496735,-206.36856749831804
22.0,24.0,11.88,19.2,23.39923,-196.74942129231516
22.0,24.0,15.524798,18.099998,23.316475,-217.53431477632216
15.0,28.0,0.0,17.600002,23.189304,-225.12539918206255
15.0,28.0,0.0,17.099998,23.070461,-231.2130862712022
15.0,28.0,0.0,16.7,22.957172,-215.93289742615855
15.0,28.0,0.0,16.300003,22.878942,-291.54548993075036
15.0,28.0,0.0,15.900002,22.67127,-326.5869391833506
15.0,28.0,0.0,15.5,22.50345,-570.056650247255
15.0,28.0,0.0,15.100002,22.02128,-594.3496468692787
15.0,28.0,0.0,14.699997,21.808231,-11.064665127881653
15.0,28.0,0.0,14.400002,22.550602,-264.2050076722542
15.0,28.0,0.0,14.099998,22.210052,-7.670161351123056
15.0,28.0,0.0,13.899998,22.492159,-86.41049271127144
15.0,28.0,0.0,13.699997,22.370176,-20.118698944445214
15.0,28.0,0.0,13.5,22.41462,-20.936036604373328
15.0,28.0,0.0,13.299999,22.38553,-88.46908067142323
15.0,28.0,0.0,13.0,22.247477,28.003337926541008
15.0,28.0,0.0,12.700001,22.3683,67.59941722564673
15.0,28.0,0.0,12.399998,22.41676,66.5107727991608
15.0,28.0,0.0,12.0,22.400177,319.0024632345438
15.0,28.0,1.98,13.099998,22.760548,238.33613926848966
15.0,28.0,63.894325,14.099998,22.696476,287.71297197708725
22.0,24.0,26.070002,15.200001,22.796518,275.1364776692481
22.0,24.0,111.44282,16.300003,22.818762,265.4866565502223
22.0,24.0,57.915,17.199997,22.867643,259.19540449330475
22.0,24.0,169.08884,18.099998,22.906452,119.63454809697583
22.0,24.0,119.57057,18.800003,22.97643,88.5817570928291
22.0,24.0,330.33704,19.400002,22.995686,31.18674477812175
22.0,24.0,324.7283,20.0,23.027267,-9.581342579288673
22.0,24.0,510.1312,20.599998,23.05963,-94.12405835283016
22.0,24.0,538.3897,21.199997,23.069939,-125.49238407281683
22.0,24.0,648.0743,21.8,23.138855,-257.58044239548866
22.0,24.0,673.4987,22.3,23.082035,-266.0370324301374
22.0,24.0,723.9466,22.800003,23.176584,-399.1184156377048
22.0,24.0,735.22235,23.099998,23.105492,-424.6465562076843
22.0,24.0,726.2297,23.5,23.156403,-414.3406722434633
22.0,24.0,715.3576,23.699997,23.264767,-433.97738235326705
22.0,24.0,644.90894,23.899998,23.32902,-401.058477760213
22.0,24.0,614.804,24.0,23.443,-405.31878067821253
22.0,24.0,489.56665,24.099998,23.50368,-370.57053280055163
22.0,24.0,432.9949,24.099998,23.58176,-367.4734158830578
22.0,24.0,273.3121,24.099998,23.609629,-405.90412075734764
22.0,24.0,211.53319,23.899998,23.52784,-404.69068195516695
22.0,24.0,128.03357,23.699997,23.482916,-441.06652543781456
22.0,24.0,90.46357,23.2,23.366886,-431.8982573896163
22.0,24.0,57.420002,22.7,23.302963,-158.32755325931277
22.0,24.0,41.25,22.7,23.444176,-178.53716464280353
22.0,24.0,25.08,20.400002,23.379307,-189.08254556215303
22.0,24.0,10.3949995,19.400002,23.291725,-188.3140663203743
22.0,24.0,13.512385,18.400002,23.207735,-204.77063035803332
15.0,28.0,0.0,17.900002,23.097168,-221.11782317172907
15.0,28.0,0.0,17.5,22.977718,-218.73737832895006
15.0,28.0,0.0,17.099998,22.886616,-209.40162880124916
15.0,28.0,0.0,16.7,22.811909,-301.3204770913275
15.0,28.0,0.0,16.5,22.58847,-346.471867552699
15.0,28.0,0.0,16.399998,22.41045,-582.578071102966
15.0,28.0,0.0,16.300003,21.945501,-595.5934046429551
15.0,28.0,0.0,16.199997,21.761467,12.04087125074193
15.0,28.0,0.0,16.100002,22.557209,-273.63356142632307
15.0,28.0,0.0,16.0,22.1904,-6.463725111120652
15.0,28.0,0.0,15.799999,22.499159,-113.22804871803953
15.0,28.0,0.0,15.599998,22.35186,-54.83853041501487
15.0,28.0,0.0,15.400002,22.391136,-57.55502901909932
15.0,28.0,0.0,15.200001,22.36649,-140.9566656341521
15.0,28.0,0.0,15.0,22.21189,27.285509591730943
15.0,28.0,0.0,14.799999,22.41464,82.80091878008267
15.0,28.0,0.0,14.899998,22.508734,90.5633813355127
15.0,28.0,0.0,14.899998,22.526741,251.76161563197803
15.0,28.0,1.485,15.5,22.771397,225.11005262675803
15.0,28.0,41.39498,16.0,22.780731,255.25569864804459
22.0,24.0,48.45135,16.8,22.860601,233.03581066413528
22.0,24.0,133.79245,17.5,22.875284,217.6129870888201
22.0,24.0,99.41992,18.400002,22.91624,210.15661329301287
22.0,24.0,218.82664,19.3,22.957474,77.77648652854316
22.0,24.0,195.57272,20.300003,23.044262,37.362589658471165
22.0,24.0,301.83176,21.399998,23.06563,-41.74415558515102
22.0,24.0,334.032,22.5,23.049595,-70.62229505201446
22.0,24.0,437.94528,23.5,23.09895,-130.3083287542649
22.0,24.0,509.31342,24.299995,23.132875,-171.90688671768442
22.0,24.0,625.05725,25.100006,23.196297,-312.1766083201727
22.0,24.0,637.7928,25.800003,23.132528,-332.0090953531689
22.0,24.0,598.42834,26.5,23.211258,-318.39742276287785
22.0,24.0,603.7679,26.799995,23.339693,-355.44081576749545
22.0,24.0,591.08215,27.199997,23.398972,-372.54298182672505
22.0,24.0,635.2403,27.300003,23.468166,-431.35871640394373
22.0,24.0,566.40094,27.399994,23.481197,-391.3286581356516
22.0,24.0,505.16476,27.199997,23.603062,-366.68739805640155
22.0,24.0,410.62842,27.099998,23.701508,-394.86687273234224
22.0,24.0,400.67307,26.599998,23.693977,-392.51178075046175
22.0,24.0,254.94077,26.099998,23.716173,-422.7793655867981
22.0,24.0,221.85252,25.100006,23.647594,-418.12584075444795
22.0,24.0,102.98672,24.099998,23.613354,-458.47485253721084
22.0,24.0,168.16953,22.7,23.478897,-434.2778207187048
22.0,24.0,60.94622,21.300003,23.446466,-177.97036870604722
22.0,24.0,100.74828,21.300003,23.542936,-175.87160677348618
22.0,24.0,20.434763,18.3,23.502163,-206.0916722400557
22.0,24.0,10.653113,17.199997,23.360825,-194.1119552024419
22.0,24.0,4.100338,16.0,23.263777,-219.0155938660472
15.0,28.0,0.0,15.400002,23.113579,-222.700469000839
15.0,28.0,0.0,14.799999,22.98644,-219.64335816777185
15.0,28.0,0.0,14.5,22.874258,-208.8054762691383
15.0,28.0,0.0,14.099998,22.779814,-301.9795717822802
15.0,28.0,0.0,13.899998,22.534372,-354.59485479833154
15.0,28.0,0.0,13.600002,22.325695,-574.9132645471241
15.0,28.0,0.0,13.200001,21.863583,-580.7576712822402
15.0,28.0,0.0,12.900002,21.674212,26.545971723604396
15.0,28.0,0.0,12.5,22.452602,-107.14807478974518
15.0,28.0,0.0,12.199997,22.297768,8.22220007379724
15.0,28.0,0.0,11.900002,22.401537,-11.152168271824962
15.0,28.0,0.0,11.599998,22.345657,67.2052091340048
15.0,28.0,0.0,11.300003,22.418571,54.96558610776253
15.0,28.0,0.0,11.0,22.378792,4.752930758200648
15.0,28.0,0.0,10.700001,22.266918,30.64698829108562
15.0,28.0,0.0,10.5,22.25587,-0.7594809918099941
15.0,28.0,0.0,10.400002,22.172976,-38.2109572189575
15.0,28.0,0.0,10.200001,22.070026,480.79073981329316
15.0,28.0,2.145,11.199997,22.807343,277.49915940608037
15.0,28.0,64.128876,12.199997,22.616488,391.96958610031265
22.0,24.0,25.575,13.400002,22.802084,340.84257704956843
22.0,24.0,115.37988,14.599998,22.784576,330.45902188394473
22.0,24.0,58.56735,15.799999,22.833696,295.2204667157119
22.0,24.0,172.72719,17.099998,22.834354,163.87240970882516
