C_env,C_air,R_rc,R_oe,R_er,RMSE
337475.6262495292,31662.540482003227,0.00011228110806180952,0.0016447610009954685,0.00011606691998553081,0.0
337475.6262495292,31662.540482003227,0.00011228110806180952,0.0016447610009954685,0.01801041059049848,0.0
337475.6262495292,31662.540482003227,0.00011228110806180952,0.12326557352820172,0.00011606691998553081,0.0
337475.6262495292,31662.540482003227,0.00011228110806180952,0.12326557352820172,0.01801041059049848,0.0
337475.6262495292,31662.540482003227,0.030447557012675496,0.0016447610009954685,0.00011606691998553081,0.0
337475.6262495292,31662.540482003227,0.030447557012675496,0.0016447610009954685,0.01801041059049848,0.0
337475.6262495292,31662.540482003227,0.030447557012675496,0.12326557352820172,0.00011606691998553081,0.0
337475.6262495292,31662.540482003227,0.030447557012675496,0.12326557352820172,0.01801041059049848,0.0
337475.6262495292,1629864.5304264936,0.00011228110806180952,0.0016447610009954685,0.00011606691998553081,0.0
337475.6262495292,1629864.5304264936,0.00011228110806180952,0.0016447610009954685,0.01801041059049848,0.0
337475.6262495292,1629864.5304264936,0.00011228110806180952,0.12326557352820172,0.00011606691998553081,0.0
337475.6262495292,1629864.5304264936,0.00011228110806180952,0.12326557352820172,0.01801041059049848,0.0
337475.6262495292,1629864.5304264936,0.030447557012675496,0.0016447610009954685,0.00011606691998553081,0.0
337475.6262495292,1629864.5304264936,0.030447557012675496,0.0016447610009954685,0.01801041059049848,0.0
337475.6262495292,1629864.5304264936,0.030447557012675496,0.12326557352820172,0.00011606691998553081,0.0
337475.6262495292,1629864.5304264936,0.030447557012675496,0.12326557352820172,0.01801041059049848,0.0
14727950.907160763,31662.540482003227,0.00011228110806180952,0.0016447610009954685,0.00011606691998553081,0.0
14727950.907160763,31662.540482003227,0.00011228110806180952,0.0016447610009954685,0.01801041059049848,0.0
14727950.907160763,31662.540482003227,0.00011228110806180952,0.12326557352820172,0.00011606691998553081,0.0
14727950.907160763,31662.540482003227,0.00011228110806180952,0.12326557352820172,0.01801041059049848,0.0
14727950.907160763,31662.540482003227,0.030447557012675496,0.0016447610009954685,0.00011606691998553081,0.0
14727950.907160763,31662.540482003227,0.030447557012675496,0.0016447610009954685,0.01801041059049848,0.0
