C_env,C_air,R_rc,R_oe,R_er,RMSE
1677270.8101393024,497486.77553450555,0.0050374501516728,0.0287629008480759,0.0010294543740856,0.0
3912930.9111357946,467892.1916651382,0.0037235651821965,0.0161578437047607,0.0006729089783372,0.4613131649612737
5468413.34802028,314780.83196000947,0.011174482671713,0.0341710732893221,0.0017176732732418,0.4607979323086237
5579992.782154508,430793.6116805775,0.0019307969122982,0.008508801813727,0.0032465857648971,0.3551079679401274
4512801.444593614,408882.6886699882,0.005504036423051,0.0383818599211129,0.0008415996251253,0.29770592680756247
899534.7408865727,664024.078665192,0.0119194685826012,0.0340826230620694,0.0048633062835698,0.4608538820862002
2211215.7385620587,533418.7431249311,0.0055007782183172,0.0211761729052937,0.0072136725902832,0.4272468932271878
2538961.7510981867,262039.5362756341,0.0145346388987306,0.0551093285027892,0.0045740373481138,0.8628892591382212
867811.2431524186,510558.5417963501,0.0064223880824258,0.0233307732341175,0.0044872066414103,0.4420801128601754
6798892.389696069,274863.721492255,0.0114004374428396,0.0518454314618642,0.0052340297674215,0.9056655780767513
3032579.2701046388,52774.06863862218,0.0086800236385374,0.0201371439553717,0.0052724771662462,1.20380297320694
5996284.748979838,558507.0890814313,0.0065045277028327,0.0577192483106354,0.0082325884042182,0.6876215528820833
4146924.890225261,106464.53894608207,0.010098340113363,0.0265552495759209,0.0040414623467023,0.9578680939467373
9027400.474979484,182842.98412323385,0.0092783706624008,0.0125941238326617,0.0029712978693907,1.714302577257535
3953797.784226254,644106.6881135484,0.0059056790467635,0.0184956582636534,0.0012620814799367,0.7194538777662824
6415866.987747874,92959.53362456086,0.0033517134448041,0.0328903038310405,0.0019954580519374,0.5575656700321265
2443185.2788615925,516557.2145087916,0.0046919214565626,0.0369639491914585,0.0073462807860869,0.5794865823920341
2931114.1486743074,235575.97250168285,0.0099476567900822,0.0166115640275201,0.0020692553201759,1.3877646198133076
4453801.924122645,241469.22102577737,0.0092479289050286,0.0460579855498389,0.007078602964122,1.106241546528735
5154147.947857544,757143.2133065567,0.0081603327529215,0.0152365387962011,0.0059817334906645,0.9872188696802243
4974887.8905334445,75084.76996853919,0.0117844980376312,0.0237116170042501,0.0044259880948285,1.1961635527188086
2861531.501339393,840754.7078819373,0.0027669075434735,0.0439170758005484,0.0047179291718827,0.8135408394894077
2955167.0683643655,524264.5952198068,0.0016828407530553,0.0093082540564016,0.0080757366703765,0.513803610913307
4087173.600906876,415365.39917320665,0.0098454337639421,0.0039550848343121,0.0056834206655893,3.06437546616654
2373316.229051175,130698.44215363558,0.0038400751791422,0.0353332837524641,0.0048443870614249,0.7713578066536725
762091.775784628,434949.6645143974,0.0040585145462099,0.0077622134397618,0.0023314154503076,1.5383744579155176
1437030.7833314885,206880.6378612563,0.0031850907888253,0.0704401185800205,0.0043803041596879,1.0053793430924625
4241210.115309307,153175.05910289055,0.0073445522622212,0.0226672815258993,0.0058356978107182,1.032077704353486
5903984.064050188,190087.05005955635,0.0127857616366456,0.0355394808265286,0.005583626063423,1.1778296634989502
1270368.7623642802,298687.2012298083,0.0012402402171782,0.020842475871089,0.0064277358694582,0.9530400153557077
3321465.8142688256,272617.75206538616,0.0103242280330602,0.0412341265304026,0.0013469987641846,0.23398651255296157
4828514.865869804,179948.54244657303,0.005295129770365,0.0318170655660947,0.0063252654371931,0.9317157312479619
4435178.923813671,117379.03182756822,0.0066007156734372,0.0279564112531284,0.0031342286849746,0.5650860328435803
3389801.983602533,390667.7157886816,0.0090800408109097,0.0131436015762768,0.0014228386775531,1.8097681525369915
1879125.7519229937,246290.7014089126,0.0069768744984521,0.0052542754320813,0.0060569673863233,2.1724587812563376
1145015.9380054933,804680.13079726,0.0052181378054076,0.0452415940870262,0.0066503316951584,0.47527113379140984
4938223.617997435,394157.1052839171,0.0110533975687448,0.0395878031755931,0.0046080230039387,0.5967976635291582
4382060.707232768,222068.69680611472,0.0079755324416528,0.026174060499649,0.0067913060701101,1.004925355947814
4292743.578678781,209307.993116641,0.009499097241104,0.0110910353394909,0.0036022652596649,1.8890178697012852
3840733.2399917,695346.4022832842,0.0130495336119743,0.0334027281270005,0.0039001244501211,0.5128382054346277
5317430.022733066,95122.1598396076,0.0077028154843458,0.0458973331654256,0.0093654587798399,1.9386375250605712
5448689.873854304,124401.3940284592,0.0047860744282538,0.0281493016546348,0.0036399587455959,0.587715873201785
4178812.887154001,303187.3753537091,0.0109179493933939,0.0169842718104513,0.002436135030709,1.4059077967507756
1296447.347177603,977860.0173541108,0.011267647473416,0.0253834431662077,0.0042440211074191,0.7042767119515215
8005758.853899309,322203.3238025476,0.0085283123647973,0.0663790193581203,0.0026982114012247,0.6400504608731284
3456086.6734861536,258100.06870659764,0.0105243566289432,0.0640125517830602,0.0037088116700076,0.7735162704752663
5060855.08683581,251499.9798414719,0.0006308342506982,0.0176546859864682,0.0077312161038726,1.2364606835681111
2186596.2953532543,217520.30022271737,0.0014648585668648,0.0117081503980558,0.0018176817481094,0.3847485162162907
3110635.6769952714,200550.54624364473,0.0030588776684452,0.0361903068426629,0.0015792064811113,0.6047299392102106
