lb,ub,Qsg,Tout,Tair_true,sat_true,zat_true
22.0,24.0,0.0,17.0,24.0,15.48750114440918,22.129980087280273
22.0,24.0,0.0,18.0,21.410038,15.496517181396484,24.91424560546875
22.0,24.0,0.0,19.0,21.976486,15.499897956848145,22.601804733276367
22.0,24.0,0.0,20.0,21.703257,15.485538482666016,25.900985717773438
22.0,24.0,0.0,21.300003,22.21727,15.481658935546875,25.61939811706543
22.0,24.0,0.0,21.0,22.387901,15.49695873260498,25.696016311645508
22.0,24.0,0.0,20.7,22.515488,15.4945707321167,25.617530822753906
22.0,24.0,0.0,20.5,22.627544,15.492403030395508,21.92635726928711
22.0,24.0,0.0,20.400002,21.969885,15.4964599609375,25.39988899230957
22.0,24.0,0.0,20.400002,22.661514,15.496017456054688,24.01068115234375
22.0,24.0,0.0,20.5,22.515108,15.464851379394531,22.101964950561523
22.0,24.0,1.8150002,21.100002,22.160023,15.496112823486328,20.528348922729492
22.0,24.0,55.726196,21.7,21.70591,15.496635437011719,21.06757926940918
22.0,24.0,22.77,22.399998,21.905191,15.499441146850586,24.93037986755371
22.0,24.0,117.7943,23.0,22.793888,15.499857902526855,18.218170166015625
22.0,24.0,65.67802,24.0,21.468441,15.498104095458984,22.078601837158203
22.0,24.0,177.43163,25.0,22.594418,15.499994277954102,19.977542877197266
22.0,24.0,129.28983,26.0,21.94997,15.5,19.31565284729004
22.0,24.0,333.23752,27.0,21.9814,15.499995231628418,22.078020095825195
22.0,24.0,329.36197,27.600006,22.86781,15.499993324279785,19.90514373779297
22.0,24.0,502.17072,28.300003,22.331535,15.49997615814209,19.489490509033203
22.0,24.0,518.88434,28.699997,22.416092,15.499994277954102,18.277347564697266
22.0,24.0,632.8191,29.199997,22.531286,15.49998664855957,18.690608978271484
22.0,24.0,649.8086,29.400002,22.682213,15.499984741210938,20.2208309173584
22.0,24.0,701.6351,29.599998,22.913046,15.499993324279785,23.861703872680664
22.0,24.0,703.0528,29.700005,24.186222,15.499996185302734,18.04219627380371
22.0,24.0,493.46774,29.800003,23.158539,15.499999046325684,21.37796974182129
22.0,24.0,89.94651,29.700005,23.290976,15.499991416931152,22.36927032470703
22.0,24.0,180.2524,29.599998,23.667156,15.49999713897705,22.810829162597656
22.0,24.0,474.87408,29.400002,23.912945,15.499975204467773,18.889863967895508
22.0,24.0,426.47385,29.099998,23.271116,15.499996185302734,19.830265045166016
22.0,24.0,424.60446,28.699997,23.279,15.499975204467773,18.908950805664062
22.0,24.0,269.35406,28.300003,23.214148,15.499998092651367,23.533525466918945
22.0,24.0,221.86665,27.699997,24.22393,15.49996566772461,19.82311248779297
22.0,24.0,126.70574,27.099998,23.217789,15.499996185302734,18.648054122924805
22.0,24.0,96.5028,26.199997,23.06269,15.499981880187988,18.280017852783203
22.0,24.0,53.955,25.400002,22.706484,15.499930381774902,18.179214477539062
22.0,24.0,38.445,25.400002,22.573729,15.499984741210938,18.55258560180664
22.0,24.0,24.09,23.0,22.452557,15.499993324279785,18.948938369750977
22.0,24.0,11.385,21.7,22.328754,15.499855995178223,19.34238624572754
22.0,24.0,14.702731,20.400002,22.219376,15.499846458435059,22.598188400268555
22.0,24.0,0.0,19.3,23.029469,15.499814987182617,20.55535316467285
22.0,24.0,0.0,18.2,22.216873,15.49992847442627,24.920940399169922
22.0,24.0,0.0,17.3,23.29944,15.499992370605469,19.024282455444336
22.0,24.0,0.0,16.399998,21.89199,15.499995231628418,24.797521591186523
22.0,24.0,0.0,15.799999,23.092913,15.499967575073242,25.046058654785156
22.0,24.0,0.0,15.200001,23.16032,15.49998664855957,21.538759231567383
22.0,24.0,0.0,14.799999,22.24005,15.499883651733398,25.640995025634766
22.0,24.0,0.0,14.400002,23.100079,15.489853858947754,23.50950050354004
22.0,24.0,0.0,14.200001,22.73675,15.497220993041992,23.40166664123535
22.0,24.0,0.0,13.899998,22.651964,15.461676597595215,25.433330535888672
22.0,24.0,0.0,13.800003,22.967548,15.49030590057373,20.85369873046875
22.0,24.0,0.0,13.699997,21.830324,15.494135856628418,25.932971954345703
22.0,24.0,0.0,13.600002,22.86208,15.499494552612305,25.61473274230957
22.0,24.0,0.0,13.5,22.895803,15.49932861328125,23.585166931152344
22.0,24.0,0.0,13.400002,22.52136,15.498830795288086,24.651287078857422
22.0,24.0,0.0,13.299999,22.66283,15.497420310974121,22.0511474609375
22.0,24.0,0.0,13.299999,22.106516,15.493148803710938,24.031620025634766
22.0,24.0,0.0,13.299999,22.46143,15.498868942260742,24.463937759399414
22.0,24.0,1.485,13.899998,22.542685,15.499679565429688,22.003286361694336
22.0,24.0,58.55608,14.599998,22.054785,15.487344741821289,25.850601196289062
22.0,24.0,23.925,15.799999,22.716461,15.489063262939453,22.333160400390625
