tstep,reward,done,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,action_0,action_1,Mode,SAT_sp,ZAT_sp_used,m_fan,DamperSignal,ReheatSignal,ReheatPct,Q_reheat_W,TotalEnergy_kWh,CoolingEnergy_kWh,HeatingEnergy_kWh,ReheatEnergy_kWh,FanEnergy_kWh,Hour,TempExceed_degC,Reward
0,-0.051705030950651765,0,0.4000000059604645,0.692307710647583,0.5,0.75,0.0,0.0,0.0,15.498039245605469,23.288827896118164,cooling,15.498039245605469,23.288827896118164,0.080939,0.0,0.3700977626996256,37.00977626996256,111.02932880988767,0.051705030950651765,0.009725113382343407,0.0,0.03325675238020906,0.008723165188099298,0.0,0.0,-0.051705030950651765
1,-0.07311732026712449,0,0.4002712368965149,0.5477434396743774,0.5,0.75,0.0,0.0,0.0,15.499314308166504,22.932113647460938,heating,15.499314308166504,22.932113647460938,0.080939,0.0,0.3814383621460304,38.14383621460304,114.43150864380911,0.07311732026712449,0.007728585840945924,0.0,0.05708879936864725,0.008299935057531328,1.0,0.0,-0.07311732026712449
2,-0.09229856216260633,0,0.40046289563179016,0.5212149620056152,0.5,0.75,0.0,0.0,0.043478261679410934,15.499506950378418,23.298778533935547,heating,15.499506950378418,23.298778533935547,0.080939,0.0,0.42767344635726917,42.767344635726914,128.30203390718074,0.09229856216260633,0.008044635573464057,0.0,0.07595399153161095,0.008299935057531328,1.0,0.0,-0.09229856216260633
3,-0.07867782761373396,0,0.4006258249282837,0.54034024477005,0.5,0.737500011920929,0.0,0.0,0.043478261679410934,15.499551773071289,23.034700393676758,heating,15.499551773071289,23.034700393676758,0.080939,0.0,0.394331703204499,39.433170320449904,118.2995109613497,0.07867782761373396,0.00802039368673956,0.0,0.06235749886946307,0.008299935057531328,2.0,0.0,-0.07867782761373396
4,-0.07033354486933982,0,0.4007825255393982,0.5265752673149109,0.5,0.737500011920929,0.0,0.0,0.08695652335882187,15.499809265136719,22.636255264282227,heating,15.499809265136719,22.636255264282227,0.080939,0.0,0.3596796271460043,35.96796271460043,107.9038881438013,0.07033354486933982,0.0077024535300962045,0.0,0.0543311562817123,0.008299935057531328,2.0,0.0,-0.07033354486933982
5,-0.10503427509614234,0,0.4009115695953369,0.5036014914512634,0.5,0.737500011920929,0.0,0.0,0.08695652335882187,15.49801254272461,23.54800033569336,heating,15.49801254272461,23.54800033569336,0.080939,0.0,0.4590210772827656,45.90210772827656,137.70632318482967,0.10503427509614234,0.008071962358338612,0.0,0.08866237768027238,0.008299935057531328,3.0,0.0,-0.10503427509614234
6,-0.0627017772675156,0,0.401078462600708,0.5533434152603149,0.5,0.737500011920929,0.0,0.0,0.1304347813129425,15.499358177185059,22.630586624145508,heating,15.499358177185059,22.630586624145508,0.080939,0.0,0.34928615877230723,34.928615877230726,104.78584763169216,0.0627017772675156,0.008085144444867971,0.0,0.04631669776511629,0.008299935057531328,3.0,0.0,-0.0627017772675156
7,-0.0570883139312308,0,0.4011819362640381,0.5046687722206116,0.5,0.7250000238418579,0.0,0.0,0.1304347813129425,15.499923706054688,21.99703598022461,heating,15.499923706054688,21.99703598022461,0.080939,0.0,0.30403131057826255,30.403131057826254,91.20939317347876,0.0570883139312308,0.007384616410425244,0.0,0.04140376246327423,0.008299935057531328,4.0,0.0,-0.0570883139312308
8,-0.06939778835498447,0,0.40123024582862854,0.4667520523071289,0.5,0.7250000238418579,0.0,0.0,0.17391304671764374,15.499935150146484,22.044260025024414,heating,15.499935150146484,22.044260025024414,0.080939,0.0,0.3226599929978076,32.26599929978076,96.79799789934229,0.06939778835498447,0.00715546913909441,0.0,0.05394238415835874,0.008299935057531328,4.0,0.0,-0.06939778835498447
9,-0.07869599675408086,0,0.40126439929008484,0.46742984652519226,0.5,0.7250000238418579,0.0,0.0,0.17391304671764374,15.496845245361328,22.351234436035156,heating,15.496845245361328,22.351234436035156,0.080939,0.0,0.3531744166101447,35.31744166101447,105.95232498304341,0.07869599675408086,0.007342712151816868,0.0,0.06305334954473266,0.008299935057531328,5.0,0.0,-0.07869599675408086
10,-0.10204777147277519,0,0.40131494402885437,0.4845750331878662,0.5,0.7250000238418579,0.0,0.0,0.21739129722118378,15.497097969055176,23.267536163330078,heating,15.497097969055176,23.267536163330078,0.080939,0.0,0.43810678874686343,43.810678874686346,131.43203662405904,0.10204777147277519,0.007994203970964968,0.0,0.08575363244427889,0.008299935057531328,5.0,0.0,-0.10204777147277519
11,-0.06867763805437598,0,0.40142133831977844,0.5366776585578918,0.5,0.7250000238418579,0.0,0.0,0.21739129722118378,15.499712944030762,22.716081619262695,heating,15.499712944030762,22.716081619262695,0.080939,0.0,0.3522954486999315,35.22954486999315,105.68863460997946,0.06867763805437598,0.00784284370008395,0.0,0.05253485929676069,0.008299935057531328,6.0,0.0,-0.06867763805437598
12,-0.05805229907702483,0,0.4048297107219696,0.5113739967346191,0.5,0.737500011920929,0.04580458998680115,0.0,0.260869562625885,15.49678897857666,22.148536682128906,heating,15.49678897857666,22.148536682128906,0.080939,0.0,0.30392915201213455,30.392915201213455,91.17874560364037,0.05805229907702483,0.007099489755612996,0.0,0.042652874263880515,0.008299935057531328,6.0,0.0,-0.05805229907702483
13,-0.11945909446428091,0,0.4085157811641693,0.47861939668655396,0.5,0.75,0.049928776919841766,0.0,0.260869562625885,15.498247146606445,23.867366790771484,heating,15.498247146606445,23.867366790771484,0.080939,0.0,0.48158185123678265,48.158185123678265,144.4745553710348,0.11945909446428091,0.007497092449036335,0.0,0.10366206695771324,0.008299935057531328,7.0,0.0,-0.11945909446428091
14,-0.07580227298882906,0,0.4137590229511261,0.5743183493614197,0.5,0.762499988079071,0.0703207328915596,0.0,0.30434781312942505,15.498738288879395,23.362380981445312,heating,15.498738288879395,23.362380981445312,0.080939,0.0,0.389956703934736,38.9956703934736,116.98701118042081,0.07580227298882906,0.007827174720346415,0.0,0.059675163210951315,0.008299935057531328,7.0,0.0,-0.07580227298882906
15,-0.05834247370535468,0,0.42061296105384827,0.5525302290916443,0.5,0.762499988079071,0.09290657192468643,0.0,0.30434781312942505,15.4989013671875,23.677804946899414,heating,15.4989013671875,23.677804946899414,0.080939,0.0,0.11833002608255565,11.833002608255565,35.49900782476669,0.05834247370535468,0.008097183991392361,0.0,0.04194535465643099,0.008299935057531328,8.0,0.0,-0.05834247370535468
16,-0.024397871843456806,0,0.42941877245903015,0.6434059143066406,0.5,0.7749999761581421,0.11898551136255264,1.0,0.3478260934352875,15.47016716003418,23.453205108642578,heating,15.47016716003418,23.453205108642578,0.080939,0.0,0.0534718754296423,5.34718754296423,16.04156262889269,0.024397871843456806,0.008556507119730182,0.0,0.007541429666195292,0.008299935057531328,8.0,0.0,-0.024397871843456806
17,-0.04095072327328117,0,0.44110244512557983,0.6377420425415039,0.5,0.7749999761581421,0.15930521488189697,1.0,0.3478260934352875,15.474924087524414,24.00835418701172,heating,15.474924087524414,24.00835418701172,0.080939,0.0,0.09584856291830708,9.584856291830707,28.754568875492126,0.04095072327328117,0.008266472338393198,0.0,0.024384315877356642,0.008299935057531328,9.0,0.0,-0.04095072327328117
18,-0.01999953491353476,0,0.4566863179206848,0.6720702052116394,0.5,0.7875000238418579,0.21357160806655884,1.0,0.3913043439388275,15.431700706481934,23.22687530517578,cooling,15.431700706481934,23.22687530517578,0.08309349134952809,0.908931384140641,0.07136224386625756,7.136224386625756,21.408673159877267,0.01999953491353476,0.00887457504036021,0.0,0.0019822845518404873,0.009142675321334065,9.0,0.0,-0.01999953491353476
19,-0.01752848386895517,0,0.4729689955711365,0.6197488307952881,0.5,0.800000011920929,0.2241276651620865,1.0,0.3913043439388275,15.470743179321289,22.58131217956543,cooling,15.470743179321289,22.58131217956543,0.09331683399893517,5.221929432104471,0.0,0.0,0.0,0.01752848386895517,0.008010231742980378,0.0,0.0,0.009518252125974793,10.0,0.0,-0.01752848386895517
20,-0.02232197497845395,0,0.4881269633769989,0.5732966661453247,0.5,0.8125,0.20945440232753754,1.0,0.43478259444236755,15.48117733001709,22.916976928710938,heating,15.48117733001709,22.916976928710938,0.08401641813871431,1.2982934134378326,0.0,0.0,0.0,0.02232197497845395,0.006418205306720548,0.0,0.007555298030121217,0.008348471641612183,10.0,0.0,-0.02232197497845395
