energy_true,penalty_true,exceedance_true
0.08402595305592561,0.0,0.0
0.20612764569111663,0.0,0.0
0.2834880850379065,0.0,0.0
0.41992360177516885,0.0,0.0
0.49016182657672847,0.0,0.0
0.6282828814470454,0.0,0.0
0.6827093692114466,0.0,0.0
0.7754236903048842,0.0,0.0
0.8281764608133172,0.0,0.0
0.9024244243679196,0.0,0.0
0.946834808145494,0.0,0.0
0.9822414395733287,0.0,0.0
1.07351698688965,0.0,0.0
1.1698597502109107,0.0,0.0
1.1904600365093554,0.0,0.0
1.2140820894435838,0.0,0.0
1.2523046471270665,0.0,0.0
1.2688091141938989,0.0,0.0
1.300070757997453,0.0,0.0
1.3223836783677492,0.0,0.0
1.3577996056633759,0.0,0.0
1.385513137724379,0.0,0.0
1.4082027951682992,0.0,0.0
1.4527145839931068,0.0,0.0
1.5117315534937807,0.0,0.0
1.5456493762492294,0.0,0.0
1.5989057674151472,0.0,0.0
1.6202136174794335,0.0,0.0
1.6615828069000604,0.0,0.0
1.712499979815778,0.0,0.0
1.757602642257576,0.0,0.0
1.787745508144944,0.0,0.0
1.841817608345544,0.0,0.0
1.882785894873786,0.0,0.0
1.9117070855902583,0.0,0.0
1.9443509078754901,0.0,0.0
1.9683552441000465,0.0,0.0
1.9942675552530216,0.0,0.0
2.0240133861927916,0.0,0.0
2.0777788247246436,0.0,0.0
2.1170363286588554,0.0,0.0
2.1406284399353503,0.0,0.0
2.1663699760468242,0.0,0.0
2.2143719817081697,0.0,0.0
2.2494225507061527,0.0,0.0
2.334961076219188,0.0,0.0
2.3671184819659192,0.0,0.0
2.408702567994436,0.0,0.0
2.429177249039236,0.0,0.0
2.4841207186090357,0.0,0.0
2.544331764976675,0.0,0.0
2.616646599861303,0.0,0.0
2.6358433904562903,0.0,0.0
2.6597184979610553,0.0,0.0
2.75613325436978,0.0,0.0
2.809562180415041,0.0,0.0
2.902827034118426,0.0,0.0
2.976922714679596,0.0,0.0
3.011224118028909,0.0,0.0
3.1035967909153155,0.0,0.0
3.1725783494259048,0.0,0.0
3.2655506438225235,0.0,0.0
3.3223967324729,0.0,0.0
